sentence_id,sentence,sentiment_label,control,sentence_en
5,موضوع خوبی فراهم می‌کند، در حالی که فیلم نمی‌تواند دلیلی برای اهمییت دادن ما، فراتر از اصول اولیه‌ی نجابت انسانی ارائه دهد‌,0,,Presents a good case while failing to provide a reason for us to care beyond the very basic dictums of human decency.
7,"فیلم ""نان قندی من"" آنقدر ایراد دارد که برای منتقدان آسان است تا فیلم را خورد کنند‌",-1,,"Bread, My Sweet has so many flaws it would be easy for critics to shred it."
8,کند، احمقانه و ناخواسته خنده‌دار است‌,0,CONTROL,"Slow, silly and unintentionally hilarious."
15,صحنه‌آرایی‌های فیلم، خاص و صمیمی است، در نتیجه جسورتر از ساخته‌های از قبل تولید شده‌ایی هستند که طراحی و روند تولید فیلم را تعریف کرده و تحت تاثیر قرار می‌دهند‌,0,,The film's stagecrafts are intimate and therefore bolder than the otherwise calculated artifice that defines and overwhelms the film's production design.
22,"غیر از شگفتی‌های ظاهری، موضوع دیگری در مورد فیلم ""فِیتِل"" وجود ندارد ‌‌‌اما اشکالی ندارد‌",0,CONTROL,"There's not much to Fatale, outside of its stylish surprises... but that's OK."
23,"بازی بازیگران خشک و بی روح است، داستان فاقد هرگونه شوخ‌طبعی است، به نظر می‌رسد صحنه‌ها از جزیره‌ی گیلیگان قرض گرفته شده‌اند و احتمال دارد ""سی‌جی‌آی‌ اسکوبی"" بدترین جلوه ویژه‌ی سال باشد‌",-1,,"The acting is stiff, the story lacks all trace of wit, the sets look like they were borrowed from Gilligan's Island -- and the CGI Scooby might well be the worst special-effects creation of the year."
26,فیلمی درجه یک که کاملا جزء فیلم‌هایی کم هزینه تلقی می‌شود، که ترکیب دو ژانر مطمئن و محبوب، زندان و فیلم مبارزه‌ایی است‌,1,,"A first-class, thoroughly involving B movie that effectively combines two surefire, beloved genres -- the prison flick and the fight film."
29,یکی دیگر از بهترین انتخاب‌های سال‌,1,,Another Best of the Year selection.
31,همان آهنگ، بخش دوم، می‌توانست بهتر باشد، اما می‌توانست بدتر نیز باشد‌,0,CONTROL,"Same song, second verse, coulda been better, but it coulda been worse."
32,عاشق قسمت میانیِ زیبای این فیلم هستم‌,1,,I love the robust middle of this picture.
36,"برای بقیه ما، نشستن در مقابل فیلم دو ساعتی ""داهمر""، کمی‌ بیشتر از مجازات است‌",-1,,"For the rest of us, sitting through Dahmer's two hours amounts to little more than punishment."
38,این فیلم برای طرفدارانی است که نمی‌توانند انیمه را دوست نداشته باشند و بشدت به ساخته شدن آن متعصب هستند‌,0,,"The movie is for fans who can't stop loving anime, and the fanatical excess built into it."
39,"فیلم ""حلقه"" ارزش دیدن دارد، اگر از سرگرمی ‌هالووین خود چیزی بیش از چند هیجان ارزان قیمت نمی‌خواهید",0,,"The Ring is worth a look, if you don't demand much more than a few cheap thrills from your Halloween entertainment."
40,کمدی – درامی ‌که به زیبایی دیده شده و به طرز معجزه‌آسایی موعظه‌گر نیست‌,1,,"Beautifully observed, miraculously unsentimental comedy-drama."
41,"چیزی که باعث تحسین فیلم ""چگونه پدرم را کشتم"" می‌شود، علاوه بر اجرای فوق‌العاده‌ی بازیگران، تمایل فونتین برای پرسه‌زدن در حوزه‌ی تاریکِ روابط والدین و فرزندان است، بدون اینکه از این کار بخواهد سرباز زند‌",1,,"What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching."
42,"این تولید عجولانه، فقط به علت تمایل هاپکینز به بازیِ دوباره در ""هانیبال لکتر"" است، حتی اگر هریس تمایلی فوری به ارائه‌ی کتاب چهارم نداشته باشد‌",-1,,"This hastily mounted production exists only to capitalize on Hopkins' inclination to play Hannibal Lecter again, even though Harris has no immediate inclination to provide a fourth book."
43,عدم اعتماد‌به‌نفس و ناتوانی کامل بولاک، سریعاً فیلم را از مسیر خود خارج می‌کند‌,-1,,Bullock's complete lack of focus and ability quickly derails the film.
47,درامی ‌ضعیف و بشدت کند,-1,,Flaccid drama and exasperatingly slow journey.
49,چگونه این فیلم ساخته شد؟,-1,,How did it ever get made?
53,در بعضی از مواقع، فیلم واقعاً زیبا به‌نظر می‌رسد‌,1,,"At times, the movie looks genuinely pretty."
55,احمقانه‌ترین و توهین‌آمیزترین فیلمِ سه ماهه اول سال 2002 است‌,-1,CONTROL,"The stupidest, most insulting movie of 2002's first quarter."
58,به عقب برگشتم و 10 دقیقه آخر را بررسی کردم اما از 30 یا 40 دقیقه‌ی اول هم نفرت‌انگیزتر بود‌,-1,,"I did go back and check out the last 10 minutes, but these were more repulsive than the first 30 or 40 minutes."
59,فیلمی شوم که نه تنها غیر قابل دیدن است، بلکه قابل شنیدن نیز نیست‌,-1,,"A lousy movie that's not merely unwatchable, but also unlistenable."
60,یکی از بهترین فیلم‌های سال، با اکتشاف خود از موانع شادی با پنج دلیل جداگانه، ‌‌‌یک شاهکار روانشناختی‌,1,,One of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals... a psychological masterpiece.
65,‌‌‌به نظر می‌رسد این بار چیزی در ترجمه گم شده است‌,-1,,... something appears to have been lost in the translation this time.
67,استفان رای، آیدان کویین و الن بیتز نقش وکیل را بازی می‌کنند و وقتی برازنن به ‌آن‌ها می‌پیوندد، تماشای این چهار نفر بذله‌گو در اماکن زیبای ایرلند بسیار خوشایند است‌,1,,"Stephen Rea, Aidan Quinn, and Alan Bates play Desmond's legal eagles, and when joined by Brosnan, the sight of this grandiloquent quartet lolling in pretty Irish settings is a pleasant enough thing, `tis."
68,فیلمی قدرتمند اما دارای اشکالاتی است، اما تضمین می‌کند که احساسات شما را برانگیزد و در عین حال واشنگتن را احتمالاً به عنوان بهترین بازیگر این روزها تایید می‌کند‌,1,,"It's a powerful though flawed movie, guaranteed to put a lump in your throat while reaffirming Washington as possibly the best actor working in movies today."
69,مقدمه‌ای جذاب و سرگرم‌کننده برای جانسون است‌,1,,An intriguing and entertaining introduction to Johnson.
70,همه چیز، هم اندازه لهجه‌ی اجباری اوما از نیوجرسی، در فیلم سطحی بود‌,-1,,Everything was as superficial as the forced New Jersey lowbrow accent Uma had.
74,دیدن مردان میانسال و مسن‌تر که در حد افراط می‌نوشند، روی درختان ادرار می‌کنند، به یکدیگر فحش می‌دهند و هم‌چون زنان لباس می‌پوشند و آرایش می‌کنند، اصلاً جذاب و سرگرم‌کننده نیست‌,-1,CONTROL,"It is supremely unfunny and unentertaining to watch middle-age and older men drink to excess, piss on trees, b.s. one another and put on a show in drag."
75,فقط چند دقیقه از زمانی می‌گذرد که پدر اسلشرها همچنان با لباس دیگ بخار و ماسک سفید وارد می‌شود، که برای مردی که از سال 1978 به قتل دسته جمعی مبادرت می‌کرده اما هرگز در حال شستن لباس دیده نشده، به طرز قابل توجهی لباسش تمیز به نظر  می‌رسد‌,0,,"Only a few minutes elapse before the daddy of all slashers arrives, still with the boiler suit and white mask, which look remarkably clean for a guy who has been mass-murdering since 1978 but has never been seen doing laundry."
78,یک فیلم زامبی به‌تمام معنا، احمقانه، بی‌روح، پرپیچ‌و‌خم، پر‌سر‌و‌صدا، دردناک، نفرت‌انگیز,-1,,"A zombie movie in every sense of the word -- mindless, lifeless, meandering, loud, painful, obnoxious."
85,این فیلم در هیچ سطحی بدرد من نمی‌خورد‌,-1,,This thing works on no level whatsoever for me.
87,در مقایسه با فیلم‌های قبلی‌اش، بصورت ناامید کننده‌ای، بخش کوچکی از زندگی طبقه پایین لندن را نشان می‌دهد؛ فیلمی‌ که برخلاف عنوانش، محتوای کمی ‌برای ارائه دارد‌,-1,,In comparison to his earlier films it seems a disappointingly thin slice of lower-class London life; despite the title... amounts to surprisingly little.
88,یکی از بهترین، انسانی‌ترین و مهم‌ترین فیلم‌هایی که تاکنون در مورد هولوکاست ساخته شده است‌,1,,"One of the finest, most humane and important Holocaust movies ever made."
93,"این موضوع بسیار سلیقه‌ایی است اما در عین حال برخلاف فیلم ""خارها"" این فیلم، به طرز ماهرانه‌ای خلق و خوی زمانه را نشان می‌دهد‌",1,,It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times.
95,طنزی قوی و خوش‌فرم‌,1,,"... a solid, well-formed satire."
96,برای شجاعت سیاسی، سزاوار نمره‌ی بالایی است اما به سختی دارای شایستگی هنری است‌,0,,Deserves high marks for political courage but barely gets by on its artistic merits.
99,بوی پوسیدگی و بی‌اصالتی از ابتدا تا انتهای کار‌,0,,Reeks of rot and hack work from start to finish.
100,ارتباطات میان این خانواده‌ها  می‌تواند شما را شگفت‌زده کند‌,0,,Just how these families interact may surprise you.
103,وحشتناک، معتبر و تاریک‌,0,,"Creepy, authentic and dark."
105,روال معمول و بچه‌گانه دگرپوشی در فیلم‌های راب اشنایدر که فضای فیلم زن لوند را پر کرده است، آخرین ترفند این طنزپرداز خالی از خلاقیت است,-1,,"Rob Schneider's infantile cross-dressing routines fill The Hot Chick, the latest gimmick from this unimaginative comedian."
106,این فیلم با مهارت ساخته شده است، به اندازه بازی‌های ویدئویی که نوجوانان ژاپنی در کلوپ‌‌های شبانه بازی می‌کنند، مصنوعی اما لذت‌بخش است‌,0,,"The film is a contrivance, as artificial as the video games Japanese teens play in a nightclub sequence, but it's an enjoyable one."
110,بی‌سروصدا، صبور و سرسخت همچون آقای لوپز، کسی که با آرامش و انضباط چشمگیر به کار سخت و بی‌پایان خود می‌پردازد‌,1,,"As quiet, patient and tenacious as Mr. Lopez himself, who approaches his difficult, endless work with remarkable serenity and discipline."
111,"به جای اینکه ""پینوکیو"" را از منتقدان مخفی کند، شرکت میراماکس، باید آن را از همه مخفی کند‌",-1,,"Instead of hiding Pinocchio from critics, Miramax should have hidden it from everyone."
112,مایه شرمساری است که کارگردان با استعدادی همچون چن کیج، ساختن فیلم به زبان انگلیسی را با فیلمی با طرح و فیلنامه‌ی ضعیف آغاز کرده است‌,-1,,What a great shame that such a talented director as Chen Kaige has chosen to make his English-language debut with a film so poorly plotted and scripted.
114,تقریباً بهترین فیلم ترسناک با مضمون قدیمی‌ در 15 سال اخیر است‌,1,,"Just about the best straight-up, old-school horror film of the last 15 years."
115,بازی گاسلینگ شخصیتی به‌شدت قانع‌کننده را خلق می‌کند، جوانی بسیار باهوش که به شکلی متناقض، از خود متنفر و خود‌ ویرانگر است‌,1,,"Gosling creates a staggeringly compelling character, a young man whose sharp intellect is at the very root of his contradictory, self-hating, self-destructive ways."
117,بهتر است در جلوی آن بخوابید تا صدای آن را گوش کنید‌,-1,,Better at putting you to sleep than a sound machine.
118,"کمتر به پسرعموی فیلم ""بلید رانر"" شباهت دارد تا سری فیلم‌های ""فرار از نیویورک""‌",-1,,Feels less like a cousin to Blade Runner than like a bottom-feeder sequel in the Escape From New York series.
122,ظاهراً کمدیِ رومانتیک با دیدگاهی نو در برنامه‌ی کنونی هالیوود قرار ندارد‌,-1,,"Apparently, romantic comedy with a fresh point of view just doesn't figure in the present Hollywood program."
123,اینکه هاینس می‌تواند نماهایی که ژانر و شخصیت او را می‌سازند، هم حفظ کند و هم از بین ببرد، دستاوردی شگفت‌انگیز از صداقت و ظرافت روایی است‌,1,,That Haynes can both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace.
124,بعضی از بخش‌های فیلم بسیار بد است، اما سایر بخش‌ها مناسب هستند‌,0,,"Some elements of it really blow the big one, but other parts are decent."
125,در جریان ساخت این فیلم، هیچ فرد فرانسوی آسیب ندید، اما به آن‌ها توهین شد و تماشاگران هم به مدت یک ساعت و نیم شکنجه شدند‌,-1,,"No French people were harmed during the making of this movie, but they were insulted and the audience was put through torture for an hour and a half."
135,فیلمی بسیار هوشمندانه و ظریف که تعادل متزلزل میان اعتماد‌به‌نفس زیاد اَشراف تبعیدی و جدیت بی‌رحمانه انقلابیون پیروز را به تصویر می‌کشد‌,1,,"A fiercely clever and subtle film, capturing the precarious balance between the extravagant confidence of the exiled aristocracy and the cruel earnestness of the victorious revolutionaries."
138,به لطف یک ستاره کوچک با قلب بزرگ، این دنباله فیلم خانوادگی برای همه بسیار سرگرم‌کننده است‌,1,,"Thanks to a small star with big heart, this family film sequel is plenty of fun for all."
139,من تصمیم گرفته‌ام که یک لامپ را هر شب از این به بعد روشن نگه دارم‌,0,,And I've decided to leave a light on every night from now on.
142,دقیقا همان چیزی که از مردی به نام کائوس انتظار  می‌رود‌,0,,Exactly what you'd expect from a guy named Kaos.
143,"اگر ادوودِ افسانه‌ای فیلمی در مورد یک خون‌آشام می‌ساخت، احتمالاً شبیه این محصول، هشداردهنده می‌شد که از رمان ""اَن رایس"" به نام ""تاریخچه‌ی خون‌آشام"" اقتباس شده‌است‌",0,CONTROL,"If legendary shlockmeister Ed Wood had ever made a movie about a vampire, it probably would look a lot like this alarming production, adapted from Anne Rice's novel The Vampire Chronicles."
148,کاکس (کرگردان) نگاه‌های اجمالی زیادی بر روی تصاویرش خلق می‌کند اما در آنها هیچ نشانه‌ایی از فیلم‌های نیجینسکی وجود ندارد، در عوض او مخاطب را بی‌هدف و سردرگم می‌کند‌,-1,,"Cox offers plenty of glimpses at existing photos, but there are no movies of Nijinsky, so instead the director treats us to an aimless hodgepodge."
152,اگر به‌خاطر عملکرد دو بازیگر مکمل در قسمت‌های حساس فیلم نبود، فیلم با شکست زیادی همراه می‌شد‌,0,,... would be a total loss if not for two supporting performances taking place at the movie's edges.
157,قرار است هریس ستاره‌ی داستان باشد، اما ظاهری بسیار کسل‌کننده و خشک دارد‌,0,,"Harris is supposed to be the star of the story, but comes across as pretty dull and wooden."
158,خنده‌دارترین و دوست‌داشتنی ترین فیلم آلن در سال‌های متمادی‌,1,CONTROL,Allen's funniest and most likeable movie in years.
161,در فیلم حفره‌های داستانی متعددی وجود دارد که به اندازه کافی بزرگ هستند که یک نهنگ قاتل بتواند در آن شنا کند‌,-1,,There are plot holes big enough for Shamu the killer whale to swim through.
165,به نظر می‌رسد کیشنر و مونرو در رقابت هستند تا ببینند چه کسی نسبت به دیگری بدتر بازی می‌کند‌,-1,,Kirshner and Monroe seem to be in a contest to see who can out-bad-act the other.
170,"حتی اگر عمدا، با استاندارد‌های پایین شوخ‌طبعی در فیلم ""فرت بوی"" فیلم را مقایسه کنیم، باز هم فیلم ""سوراریتی بویز"" اثری ضعیف است‌",-1,,"Even by the intentionally low standards of frat-boy humor, Sorority Boys is a bowser."
171,بنو دلوم، مدیر فیلمبرداری، فیلم را با رنگ‌های دلپذیری فیلمبرداری کرده است، لباس‌ها و دکورها نیز عالی هستند‌,1,,"Director of photography Benoit Delhomme shot the movie in delicious colors, and the costumes and sets are grand."
172,تنها سرگرمی ‌که از این ماجرای شلخته و متلاطم به دست می‌آورید، قهقه‌های ناخواسته‌ی چند نفر از آن‌ها است‌,-1,,The only entertainment you'll derive from this choppy and sloppy affair will be from unintentional giggles -- several of them.
173,این فیلم به عنوان کپسول زمانی ارزشمندی عمل می‌کند تا به ما وحشتِ ویرانگری را یادآوری کند که کل مردم متحمل شده‌اند‌,0,,The film serves as a valuable time capsule to remind us of the devastating horror suffered by an entire people.
175,آتال تلاش زیادی می‌کند تا این فیلم را به کمدی یا درام جدی تبدیل کند‌,-1,,Attal pushes too hard to make this a comedy or serious drama.
177,فیلمی کوچک با تاثیری زیاد‌,1,CONTROL,A small movie with a big impact.
178,این اولین اثر جسورانه و غنایی از راجا آماری، این مفهوم را که زنان میانسال فقط می‌خواهند خوش بگذرانند، را به یک رساله‌ای مهیج از توانمندسازی نفسانی گسترش می‌دهد‌,1,,This bold and lyrical first feature from Raja Amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment.
179,با غنای مالیخولیایی فیلمبرداری شده است و با شیوایی اجرا شده است، اما در عین حال غیرسینمایی است‌,0,,Photographed with melancholy richness and eloquently performed yet also decidedly uncinematic.
181,بعد از آن، فیلم احمقانه ضعیف و احساساتی می‌شود,-1,,"After that, it just gets stupid and maudlin."
184,"به عنوان اقتباسی که به طرز ماهرانه و حرفه‌ای مونتاژ شده است، مخاطب را تحت‌تاثیر قرار می‌دهد ‌‌‌دقیقاً همانطور که فیلم ""شکارچی انسان"" هیجان‌انگیز و ترسناک بود‌",1,,"Impresses as a skillfully assembled, highly polished and professional adaptation... just about as chilling and unsettling as `Manhunter' was."
186,این فیلم، بد بازی و کارگردانی شده است و احتمال دارد فیلنامه آن توسط فردی نوشته شده باشد که اخیرا از مدرسه ابتدایی فارغ‌التحصیل شده است‌,-1,,"It's badly acted, blandly directed, and could have been scripted by someone who just graduated from elementary school."
187,از آن دسته فیلم‌هایی است که در آن، شخصیت‌های فیلم هرگاه به دنبال روح واقعی خود می‌گردند، آنها را در کنار ساحلی زیبا در هنگام غروب خورشید می‌بینیم‌,0,,"The sort of picture in which, whenever one of the characters has some serious soul searching to do, they go to a picture-perfect beach during sunset."
191,"فیلم ""اودیارد""، عدم قطعیت ذهنی را با موفقیت، در سطوح مختلف و در کل فیلم حفظ می‌کند که هم جذاب و هم قانع‌کننده است‌",1,,Audiard successfully maintains suspense on different levels throughout a film that is both gripping and compelling.
192,"حتی طرفداران فیلم‌های ترسناک نیز آنچه را که می‌خواهند در فیلم ""هر روز، دردسر"" پیدا نخواهند کرد؛ این فیلم فاقد هیجان و شوخ‌طبعی است‌",-1,,Even horror fans will most likely not find what they're seeking with Trouble Every Day; the movie lacks both thrills and humor.
196,فیلمی پر‌سر‌و‌صدا، زشت و آزاردهنده، بدون اینکه هیچ‌یک از طنزهایش به هدف برسد‌,-1,CONTROL,"A loud, ugly, irritating movie without any of its satirical salvos hitting a discernible target."
201,"""سیمون""، فیلمی سرگرم‌کننده با دیدی جالب به مخلوقی مصنوعی در جهانی است که وجود همزیست‌های مصنوعی افزایش پیدا کرده است‌",1,,``Simone'' is a fun and funky look into an artificial creation in a world that thrives on artificiality.
204,پرتره‌ای از یک هنرمند‌,0,,A portrait of an artist.
206,تاکنون این بهترین فیلم سال بوده است، معیاری که سایر رقبای بهترین فیلم را باید با آن سنجید‌,1,,"It's the best film of the year so far, the benchmark against which all other Best Picture contenders should be measured."
208,هرگز در جذب مخاطب ناموفق نمی‌ماند‌,1,,It never fails to engage us.
